;ts;km;value;kmu;vu;tsu
Temp;212;12;12;0,1;0,1;1
Temp;213;13;13;0,1;0,1;1
Temp;214;14;14;0,1;0,1;1
Temp;215;15;15;0,1;0,1;1
Temp;216;16;16;0,1;0,1;1
Temp;217;17;17;0,1;0,1;1
Temp;218;18;18;0,1;0,1;1
Temp;219;19;19;0,1;0,1;1
Temp;220;20;20;0,1;0,1;1
Temp;221;21;21;0,1;0,1;1
Temp;222;22;22;0,1;0,1;1
Temp;223;23;23;0,1;0,1;1
Temp;224;24;24;0,1;0,1;1
Temp;225;25;25;0,1;0,1;1
Temp;226;26;26;0,1;0,1;1
Temp;227;27;27;0,1;0,1;1
Temp;228;28;28;0,1;0,1;1
Temp;229;29;29;0,1;0,1;1
Temp;230;30;30;0,1;0,1;1
Temp;231;31;31;0,1;0,1;1
Temp;232;32;32;0,1;0,1;1
Temp;233;33;33;0,1;0,1;1
Temp;234;34;34;0,1;0,1;1
Temp;235;35;35;0,1;0,1;1
Temp;236;36;36;0,1;0,1;1
Temp;237;37;37;0,1;0,1;1
Temp;238;38;38;0,1;0,1;1
Temp;239;39;39;0,1;0,1;1
Temp;240;40;40;0,1;0,1;1
Temp;241;41;41;0,1;0,1;1
Temp;242;42;42;0,1;0,1;1
Temp;243;43;43;0,1;0,1;1
Temp;244;44;44;0,1;0,1;1
Temp;245;45;45;0,1;0,1;1
Temp;246;46;46;0,1;0,1;1
Temp;247;47;47;0,1;0,1;1
Temp;248;48;48;0,1;0,1;1
Temp;249;49;49;0,1;0,1;1
Temp;250;50;50;0,1;0,1;1
Temp;251;51;51;0,1;0,1;1
Temp;252;52;52;0,1;0,1;1
Temp;253;53;53;0,1;0,1;1
Temp;254;54;54;0,1;0,1;1
Temp;255;55;55;0,1;0,1;1
Temp;256;56;56;0,1;0,1;1
Temp;257;57;57;0,1;0,1;1
Temp;258;58;58;0,1;0,1;1
Temp;259;59;59;0,1;0,1;1
Temp;260;60;60;0,1;0,1;1
Temp;261;61;61;0,1;0,1;1
Temp;262;62;62;0,1;0,1;1
Temp;263;63;63;0,1;0,1;1
Temp;264;64;64;0,1;0,1;1
Temp;265;65;65;0,1;0,1;1
Temp;266;66;66;0,1;0,1;1
Temp;267;67;67;0,1;0,1;1
Temp;268;68;68;0,1;0,1;1
Temp;269;69;69;0,1;0,1;1
Temp;270;70;70;0,1;0,1;1
Temp;271;71;71;0,1;0,1;1
Temp;272;72;72;0,1;0,1;1
Temp;273;73;73;0,1;0,1;1
Temp;274;74;74;0,1;0,1;1
Temp;275;75;75;0,1;0,1;1
Temp;276;76;76;0,1;0,1;1
Temp;277;77;77;0,1;0,1;1
Temp;278;78;78;0,1;0,1;1
Temp;279;79;79;0,1;0,1;1
Temp;280;80;80;0,1;0,1;1
Temp;281;81;81;0,1;0,1;1
Temp;282;82;82;0,1;0,1;1
Temp;283;83;83;0,1;0,1;1
Temp;284;84;84;0,1;0,1;1
Temp;285;85;85;0,1;0,1;1
Temp;286;86;86;0,1;0,1;1
Temp;287;87;87;0,1;0,1;1
Temp;288;88;88;0,1;0,1;1
Temp;289;89;89;0,1;0,1;1
Temp;290;90;90;0,1;0,1;1
Temp;291;91;91;0,1;0,1;1
Temp;292;92;92;0,1;0,1;1
Temp;293;93;93;0,1;0,1;1
Temp;294;94;94;0,1;0,1;1
Temp;295;95;95;0,1;0,1;1
Temp;296;96;96;0,1;0,1;1
Temp;297;97;97;0,1;0,1;1
Temp;298;98;98;0,1;0,1;1
Temp;299;99;99;0,1;0,1;1
Temp;300;100;100;0,1;0,1;1
Temp;301;1;1;0,1;0,1;1
Temp;302;2;2;0,1;0,1;1
Temp;303;3;3;0,1;0,1;1
Temp;304;4;4;0,1;0,1;1
Temp;305;5;5;0,1;0,1;1
Temp;306;6;6;0,1;0,1;1
Temp;307;7;7;0,1;0,1;1
Temp;308;8;8;0,1;0,1;1
Temp;309;9;9;0,1;0,1;1
Temp;310;10;10;0,1;0,1;1
Temp;311;11;11;0,1;0,1;1
Temp;312;12;12;0,1;0,1;1
Temp;313;13;13;0,1;0,1;1
Temp;314;14;14;0,1;0,1;1
Temp;315;15;15;0,1;0,1;1
Temp;316;16;16;0,1;0,1;1
Temp;317;17;17;0,1;0,1;1
Temp;318;18;18;0,1;0,1;1
Temp;319;19;19;0,1;0,1;1
Temp;320;20;20;0,1;0,1;1
Temp;321;21;21;0,1;0,1;1
Temp;322;22;22;0,1;0,1;1
Temp;323;23;23;0,1;0,1;1
Temp;324;24;24;0,1;0,1;1
Temp;325;25;25;0,1;0,1;1
Temp;326;26;26;0,1;0,1;1
Temp;327;27;27;0,1;0,1;1
Temp;328;28;28;0,1;0,1;1
Temp;329;29;29;0,1;0,1;1
Temp;330;30;30;0,1;0,1;1
Temp;331;31;31;0,1;0,1;1
Temp;332;32;32;0,1;0,1;1
Temp;333;33;33;0,1;0,1;1
Temp;334;34;34;0,1;0,1;1
Temp;335;35;35;0,1;0,1;1
Temp;336;36;36;0,1;0,1;1
Temp;337;37;37;0,1;0,1;1
Temp;338;38;38;0,1;0,1;1
Temp;339;39;39;0,1;0,1;1
Temp;340;40;40;0,1;0,1;1
Temp;341;41;41;0,1;0,1;1
Temp;342;42;42;0,1;0,1;1
Temp;343;43;43;0,1;0,1;1
Temp;344;44;44;0,1;0,1;1
Temp;345;45;45;0,1;0,1;1
Temp;346;46;46;0,1;0,1;1
Temp;347;47;47;0,1;0,1;1
Temp;348;48;48;0,1;0,1;1
Temp;349;49;49;0,1;0,1;1
Temp;350;50;50;0,1;0,1;1
Temp;351;51;51;0,1;0,1;1
Temp;352;52;52;0,1;0,1;1
Temp;353;53;53;0,1;0,1;1
Temp;354;54;54;0,1;0,1;1
Temp;355;55;55;0,1;0,1;1
Temp;356;56;56;0,1;0,1;1
Temp;357;57;57;0,1;0,1;1
Temp;358;58;58;0,1;0,1;1
Temp;359;59;59;0,1;0,1;1
Temp;360;60;60;0,1;0,1;1
Temp;361;61;61;0,1;0,1;1
Temp;362;62;62;0,1;0,1;1
Temp;363;63;63;0,1;0,1;1
Temp;364;64;64;0,1;0,1;1
Temp;365;65;65;0,1;0,1;1
Temp;366;66;66;0,1;0,1;1
Temp;367;67;67;0,1;0,1;1
Temp;368;68;68;0,1;0,1;1
Temp;369;69;69;0,1;0,1;1
Temp;370;70;70;0,1;0,1;1
Temp;371;71;71;0,1;0,1;1
Temp;372;72;72;0,1;0,1;1
Temp;373;73;73;0,1;0,1;1
Temp;374;74;74;0,1;0,1;1
Temp;375;75;75;0,1;0,1;1
Temp;376;76;76;0,1;0,1;1
Temp;377;77;77;0,1;0,1;1
Temp;378;78;78;0,1;0,1;1
Temp;379;79;79;0,1;0,1;1
Temp;380;80;80;0,1;0,1;1
Temp;381;81;81;0,1;0,1;1
Temp;382;82;82;0,1;0,1;1
Temp;383;83;83;0,1;0,1;1
Temp;384;84;84;0,1;0,1;1
Temp;385;85;85;0,1;0,1;1
Temp;386;86;86;0,1;0,1;1
Temp;387;87;87;0,1;0,1;1
Temp;388;88;88;0,1;0,1;1
Temp;389;89;89;0,1;0,1;1
Temp;390;90;90;0,1;0,1;1
Temp;391;91;91;0,1;0,1;1
Temp;392;92;92;0,1;0,1;1
Temp;393;93;93;0,1;0,1;1
Temp;394;94;94;0,1;0,1;1
Temp;395;95;95;0,1;0,1;1
Temp;396;96;96;0,1;0,1;1
Temp;397;97;97;0,1;0,1;1
Temp;398;98;98;0,1;0,1;1
Temp;399;99;99;0,1;0,1;1
Temp;400;100;100;0,1;0,1;1
Temp;401;1;1;0,1;0,1;1
Temp;402;2;2;0,1;0,1;1
Temp;403;3;3;0,1;0,1;1
Temp;404;4;4;0,1;0,1;1
Temp;405;5;5;0,1;0,1;1
Temp;406;6;6;0,1;0,1;1
Temp;407;7;7;0,1;0,1;1
Temp;408;8;8;0,1;0,1;1
Temp;409;9;9;0,1;0,1;1
Temp;410;10;10;0,1;0,1;1
Temp;411;11;11;0,1;0,1;1
Temp;412;12;12;0,1;0,1;1
Temp;413;13;13;0,1;0,1;1
Temp;414;14;14;0,1;0,1;1
Temp;415;15;15;0,1;0,1;1
Temp;416;16;16;0,1;0,1;1
Temp;417;17;17;0,1;0,1;1
Temp;418;18;18;0,1;0,1;1
Temp;419;19;19;0,1;0,1;1
Temp;420;20;20;0,1;0,1;1
Temp;421;21;21;0,1;0,1;1
Temp;422;22;22;0,1;0,1;1
Temp;423;23;23;0,1;0,1;1
Temp;424;24;24;0,1;0,1;1
Temp;425;25;25;0,1;0,1;1
Temp;426;26;26;0,1;0,1;1
Temp;427;27;27;0,1;0,1;1
Temp;428;28;28;0,1;0,1;1
Temp;429;29;29;0,1;0,1;1
Temp;430;30;30;0,1;0,1;1
Temp;431;31;31;0,1;0,1;1
Temp;432;32;32;0,1;0,1;1
Temp;433;33;33;0,1;0,1;1
Temp;434;34;34;0,1;0,1;1
Temp;435;35;35;0,1;0,1;1
Temp;436;36;36;0,1;0,1;1
Temp;437;37;37;0,1;0,1;1
Temp;438;38;38;0,1;0,1;1
Temp;439;39;39;0,1;0,1;1
Temp;440;40;40;0,1;0,1;1
Temp;441;41;41;0,1;0,1;1
Temp;442;42;42;0,1;0,1;1
Temp;443;43;43;0,1;0,1;1
Temp;444;44;44;0,1;0,1;1
Temp;445;45;45;0,1;0,1;1
Temp;446;46;46;0,1;0,1;1
Temp;447;47;47;0,1;0,1;1
Temp;448;48;48;0,1;0,1;1
Temp;449;49;49;0,1;0,1;1
Temp;450;50;50;0,1;0,1;1
Temp;451;51;51;0,1;0,1;1
Temp;452;52;52;0,1;0,1;1
Temp;453;53;53;0,1;0,1;1
Temp;454;54;54;0,1;0,1;1
Temp;455;55;55;0,1;0,1;1
Temp;456;56;56;0,1;0,1;1
Temp;457;57;57;0,1;0,1;1
Temp;458;58;58;0,1;0,1;1
Temp;459;59;59;0,1;0,1;1
Temp;460;60;60;0,1;0,1;1
Temp;461;61;61;0,1;0,1;1
Temp;462;62;62;0,1;0,1;1
Temp;463;63;63;0,1;0,1;1
Temp;464;64;64;0,1;0,1;1
Temp;465;65;65;0,1;0,1;1
Temp;466;66;66;0,1;0,1;1
Temp;467;67;67;0,1;0,1;1
Temp;468;68;68;0,1;0,1;1
Temp;469;69;69;0,1;0,1;1
Temp;470;70;70;0,1;0,1;1
Temp;471;71;71;0,1;0,1;1
Temp;472;72;72;0,1;0,1;1
Temp;473;73;73;0,1;0,1;1
Temp;474;74;74;0,1;0,1;1
Temp;475;75;75;0,1;0,1;1
Temp;476;76;76;0,1;0,1;1
Temp;477;77;77;0,1;0,1;1
Temp;478;78;78;0,1;0,1;1
Temp;479;79;79;0,1;0,1;1
Temp;480;80;80;0,1;0,1;1
Temp;481;81;81;0,1;0,1;1
Temp;482;82;82;0,1;0,1;1
Temp;483;83;83;0,1;0,1;1
Temp;484;84;84;0,1;0,1;1
Temp;485;85;85;0,1;0,1;1
Temp;486;86;86;0,1;0,1;1
Temp;487;87;87;0,1;0,1;1
Temp;488;88;88;0,1;0,1;1
Temp;489;89;89;0,1;0,1;1
Temp;490;90;90;0,1;0,1;1
Temp;491;91;91;0,1;0,1;1
Temp;492;92;92;0,1;0,1;1
Temp;493;93;93;0,1;0,1;1
Temp;494;94;94;0,1;0,1;1
Temp;495;95;95;0,1;0,1;1
Temp;496;96;96;0,1;0,1;1
Temp;497;97;97;0,1;0,1;1
Temp;498;98;98;0,1;0,1;1
Temp;499;99;99;0,1;0,1;1
Temp;500;100;100;0,1;0,1;1
Temp;501;1;1;0,1;0,1;1
Temp;502;2;2;0,1;0,1;1
Temp;503;3;3;0,1;0,1;1
Temp;504;4;4;0,1;0,1;1
Temp;505;5;5;0,1;0,1;1
Temp;506;6;6;0,1;0,1;1
Temp;507;7;7;0,1;0,1;1
Temp;508;8;8;0,1;0,1;1
Temp;509;9;9;0,1;0,1;1
Temp;510;10;10;0,1;0,1;1
Temp;511;11;11;0,1;0,1;1
Temp;512;12;12;0,1;0,1;1
Temp;513;13;13;0,1;0,1;1
Temp;514;14;14;0,1;0,1;1
Temp;515;15;15;0,1;0,1;1
Temp;516;16;16;0,1;0,1;1
Temp;517;17;17;0,1;0,1;1
Temp;518;18;18;0,1;0,1;1
Temp;519;19;19;0,1;0,1;1
Temp;520;20;20;0,1;0,1;1
Temp;521;21;21;0,1;0,1;1
Temp;522;22;22;0,1;0,1;1
Temp;523;23;23;0,1;0,1;1
Temp;524;24;24;0,1;0,1;1
Temp;525;25;25;0,1;0,1;1
Temp;526;26;26;0,1;0,1;1
Temp;527;27;27;0,1;0,1;1
Temp;528;28;28;0,1;0,1;1
Temp;529;29;29;0,1;0,1;1
Temp;530;30;30;0,1;0,1;1
Temp;531;31;31;0,1;0,1;1
Temp;532;32;32;0,1;0,1;1
Temp;533;33;33;0,1;0,1;1
Temp;534;34;34;0,1;0,1;1
Temp;535;35;35;0,1;0,1;1
Temp;536;36;36;0,1;0,1;1
Temp;537;37;37;0,1;0,1;1
Temp;538;38;38;0,1;0,1;1
Temp;539;39;39;0,1;0,1;1
Temp;540;40;40;0,1;0,1;1
Temp;541;41;41;0,1;0,1;1
Temp;542;42;42;0,1;0,1;1
Temp;543;43;43;0,1;0,1;1
Temp;544;44;44;0,1;0,1;1
Temp;545;45;45;0,1;0,1;1
Temp;546;46;46;0,1;0,1;1
Temp;547;47;47;0,1;0,1;1
Temp;548;48;48;0,1;0,1;1
Temp;549;49;49;0,1;0,1;1
Temp;550;50;50;0,1;0,1;1
Temp;551;51;51;0,1;0,1;1
Temp;552;52;52;0,1;0,1;1
Temp;553;53;53;0,1;0,1;1
Temp;554;54;54;0,1;0,1;1
Temp;555;55;55;0,1;0,1;1
Temp;556;56;56;0,1;0,1;1
Temp;557;57;57;0,1;0,1;1
Temp;558;58;58;0,1;0,1;1
Temp;559;59;59;0,1;0,1;1
Temp;560;60;60;0,1;0,1;1
Temp;561;61;61;0,1;0,1;1
Temp;562;62;62;0,1;0,1;1
Temp;563;63;63;0,1;0,1;1
Temp;564;64;64;0,1;0,1;1
Temp;565;65;65;0,1;0,1;1
Temp;566;66;66;0,1;0,1;1
Temp;567;67;67;0,1;0,1;1
Temp;568;68;68;0,1;0,1;1
Temp;569;69;69;0,1;0,1;1
Temp;570;70;70;0,1;0,1;1
Temp;571;71;71;0,1;0,1;1
Temp;572;72;72;0,1;0,1;1
Temp;573;73;73;0,1;0,1;1
Temp;574;74;74;0,1;0,1;1
Temp;575;75;75;0,1;0,1;1
Temp;576;76;76;0,1;0,1;1
Temp;577;77;77;0,1;0,1;1
Temp;578;78;78;0,1;0,1;1
Temp;579;79;79;0,1;0,1;1
Temp;580;80;80;0,1;0,1;1
Temp;581;81;81;0,1;0,1;1
Temp;582;82;82;0,1;0,1;1
Temp;583;83;83;0,1;0,1;1
Temp;584;84;84;0,1;0,1;1
Temp;585;85;85;0,1;0,1;1
Temp;586;86;86;0,1;0,1;1
Temp;587;87;87;0,1;0,1;1
Temp;588;88;88;0,1;0,1;1
Temp;589;89;89;0,1;0,1;1
Temp;590;90;90;0,1;0,1;1
Temp;591;91;91;0,1;0,1;1
Temp;592;92;92;0,1;0,1;1
Temp;593;93;93;0,1;0,1;1
Temp;594;94;94;0,1;0,1;1
Temp;595;95;95;0,1;0,1;1
Temp;596;96;96;0,1;0,1;1
Temp;597;97;97;0,1;0,1;1
Temp;598;98;98;0,1;0,1;1
Temp;599;99;99;0,1;0,1;1
Temp;600;100;100;0,1;0,1;1
Temp;601;1;1;0,1;0,1;1
Temp;602;2;2;0,1;0,1;1
Temp;603;3;3;0,1;0,1;1
Temp;604;4;4;0,1;0,1;1
Temp;605;5;5;0,1;0,1;1
Temp;606;6;6;0,1;0,1;1
Temp;607;7;7;0,1;0,1;1
Temp;608;8;8;0,1;0,1;1
Temp;609;9;9;0,1;0,1;1
Temp;610;10;10;0,1;0,1;1
Temp;611;11;11;0,1;0,1;1
Temp;612;12;12;0,1;0,1;1
Temp;613;13;13;0,1;0,1;1
Temp;614;14;14;0,1;0,1;1
Temp;615;15;15;0,1;0,1;1
Temp;616;16;16;0,1;0,1;1
Temp;617;17;17;0,1;0,1;1
Temp;618;18;18;0,1;0,1;1
Temp;619;19;19;0,1;0,1;1
Temp;620;20;20;0,1;0,1;1
Temp;621;21;21;0,1;0,1;1
Temp;622;22;22;0,1;0,1;1
Temp;623;23;23;0,1;0,1;1
Temp;624;24;24;0,1;0,1;1
Temp;625;25;25;0,1;0,1;1
Temp;626;26;26;0,1;0,1;1
Temp;627;27;27;0,1;0,1;1
Temp;628;28;28;0,1;0,1;1
Temp;629;29;29;0,1;0,1;1
Temp;630;30;30;0,1;0,1;1
Temp;631;31;31;0,1;0,1;1
Temp;632;32;32;0,1;0,1;1
Temp;633;33;33;0,1;0,1;1
Temp;634;34;34;0,1;0,1;1
Temp;635;35;35;0,1;0,1;1
Temp;636;36;36;0,1;0,1;1
Temp;637;37;37;0,1;0,1;1
Temp;638;38;38;0,1;0,1;1
Temp;639;39;39;0,1;0,1;1
Temp;640;40;40;0,1;0,1;1
Temp;641;41;41;0,1;0,1;1
Temp;642;42;42;0,1;0,1;1
Temp;643;43;43;0,1;0,1;1
Temp;644;44;44;0,1;0,1;1
Temp;645;45;45;0,1;0,1;1
Temp;646;46;46;0,1;0,1;1
Temp;647;47;47;0,1;0,1;1
Temp;648;48;48;0,1;0,1;1
Temp;649;49;49;0,1;0,1;1
Temp;650;50;50;0,1;0,1;1
Temp;651;51;51;0,1;0,1;1
Temp;652;52;52;0,1;0,1;1
Temp;653;53;53;0,1;0,1;1
Temp;654;54;54;0,1;0,1;1
Temp;655;55;55;0,1;0,1;1
Temp;656;56;56;0,1;0,1;1
Temp;657;57;57;0,1;0,1;1
Temp;658;58;58;0,1;0,1;1
Temp;659;59;59;0,1;0,1;1
Temp;660;60;60;0,1;0,1;1
Temp;661;61;61;0,1;0,1;1
Temp;662;62;62;0,1;0,1;1
Temp;663;63;63;0,1;0,1;1
Temp;664;64;64;0,1;0,1;1
Temp;665;65;65;0,1;0,1;1
Temp;666;66;66;0,1;0,1;1
Temp;667;67;67;0,1;0,1;1
Temp;668;68;68;0,1;0,1;1
Temp;669;69;69;0,1;0,1;1
Temp;670;70;70;0,1;0,1;1
Temp;671;71;71;0,1;0,1;1
Temp;672;72;72;0,1;0,1;1
Temp;673;73;73;0,1;0,1;1
Temp;674;74;74;0,1;0,1;1
Temp;675;75;75;0,1;0,1;1
Temp;676;76;76;0,1;0,1;1
Temp;677;77;77;0,1;0,1;1
Temp;678;78;78;0,1;0,1;1
Temp;679;79;79;0,1;0,1;1
Temp;680;80;80;0,1;0,1;1
Temp;681;81;81;0,1;0,1;1
Temp;682;82;82;0,1;0,1;1
Temp;683;83;83;0,1;0,1;1
Temp;684;84;84;0,1;0,1;1
Temp;685;85;85;0,1;0,1;1
Temp;686;86;86;0,1;0,1;1
Temp;687;87;87;0,1;0,1;1
Temp;688;88;88;0,1;0,1;1
Temp;689;89;89;0,1;0,1;1
Temp;690;90;90;0,1;0,1;1
Temp;691;91;91;0,1;0,1;1
Temp;692;92;92;0,1;0,1;1
Temp;693;93;93;0,1;0,1;1
Temp;694;94;94;0,1;0,1;1
Temp;695;95;95;0,1;0,1;1
Temp;696;96;96;0,1;0,1;1
Temp;697;97;97;0,1;0,1;1
Temp;698;98;98;0,1;0,1;1
