;ts;km
TrafficJam;482;82
TrafficJam;483;83
TrafficJam;484;84
TrafficJam;485;85
TrafficJam;486;86
TrafficJam;487;87
TrafficJam;488;88
TrafficJam;489;89
TrafficJam;490;90
TrafficJam;491;91
TrafficJam;492;92
TrafficJam;493;93
TrafficJam;494;94
TrafficJam;495;95
TrafficJam;496;96
TrafficJam;497;97
TrafficJam;498;98
TrafficJam;499;99
TrafficJam;500;100
TrafficJam;501;1
TrafficJam;502;2
TrafficJam;503;3
TrafficJam;504;4
TrafficJam;505;5
TrafficJam;506;6
TrafficJam;507;7
TrafficJam;508;8
TrafficJam;509;9
TrafficJam;510;10
TrafficJam;511;11
TrafficJam;512;12
TrafficJam;513;13
TrafficJam;514;14
TrafficJam;515;15
TrafficJam;516;16
TrafficJam;517;17
TrafficJam;518;18
TrafficJam;519;19
TrafficJam;520;20
TrafficJam;521;21
TrafficJam;522;22
TrafficJam;523;23
TrafficJam;524;24
TrafficJam;525;25
TrafficJam;526;26
TrafficJam;527;27
TrafficJam;528;28
TrafficJam;529;29
TrafficJam;530;30
TrafficJam;531;31
TrafficJam;532;32
TrafficJam;533;33
TrafficJam;534;34
TrafficJam;535;35
TrafficJam;536;36
TrafficJam;537;37
TrafficJam;538;38
TrafficJam;539;39
TrafficJam;540;40
TrafficJam;541;41
TrafficJam;542;42
TrafficJam;543;43
TrafficJam;544;44
TrafficJam;545;45
TrafficJam;546;46
TrafficJam;547;47
TrafficJam;548;48
TrafficJam;549;49
TrafficJam;550;50
TrafficJam;551;51
TrafficJam;552;52
TrafficJam;553;53
TrafficJam;554;54
TrafficJam;555;55
TrafficJam;556;56
TrafficJam;557;57
TrafficJam;558;58
TrafficJam;559;59
TrafficJam;560;60
TrafficJam;561;61
TrafficJam;562;62
TrafficJam;563;63
TrafficJam;564;64
TrafficJam;565;65
TrafficJam;566;66
TrafficJam;567;67
TrafficJam;568;68
TrafficJam;569;69
TrafficJam;570;70
TrafficJam;571;71
TrafficJam;572;72
TrafficJam;573;73
TrafficJam;574;74
TrafficJam;575;75
TrafficJam;576;76
TrafficJam;577;77
TrafficJam;578;78
TrafficJam;579;79
TrafficJam;580;80
TrafficJam;581;81
TrafficJam;582;82
TrafficJam;583;83
TrafficJam;584;84
TrafficJam;585;85
TrafficJam;586;86
TrafficJam;587;87
TrafficJam;588;88
TrafficJam;589;89
TrafficJam;590;90
TrafficJam;591;91
TrafficJam;592;92
TrafficJam;593;93
TrafficJam;594;94
TrafficJam;595;95
TrafficJam;596;96
TrafficJam;597;97
TrafficJam;598;98
TrafficJam;599;99
TrafficJam;600;100
TrafficJam;601;1
TrafficJam;602;2
TrafficJam;603;3
TrafficJam;604;4
TrafficJam;605;5
TrafficJam;606;6
TrafficJam;607;7
TrafficJam;608;8
TrafficJam;609;9
TrafficJam;610;10
TrafficJam;611;11
TrafficJam;612;12
TrafficJam;613;13
TrafficJam;614;14
TrafficJam;615;15
TrafficJam;616;16
TrafficJam;617;17
TrafficJam;618;18
TrafficJam;619;19
TrafficJam;620;20
TrafficJam;621;21
TrafficJam;622;22
TrafficJam;623;23
TrafficJam;624;24
TrafficJam;625;25
TrafficJam;626;26
TrafficJam;627;27
TrafficJam;628;28
TrafficJam;629;29
TrafficJam;630;30
TrafficJam;631;31
TrafficJam;632;32
TrafficJam;633;33
TrafficJam;634;34
TrafficJam;635;35
TrafficJam;636;36
TrafficJam;637;37
TrafficJam;638;38
TrafficJam;639;39
TrafficJam;640;40
TrafficJam;641;41
TrafficJam;642;42
TrafficJam;643;43
TrafficJam;644;44
TrafficJam;645;45
TrafficJam;646;46
TrafficJam;647;47
TrafficJam;648;48
TrafficJam;649;49
TrafficJam;650;50
TrafficJam;651;51
TrafficJam;652;52
TrafficJam;653;53
TrafficJam;654;54
TrafficJam;655;55
TrafficJam;656;56
TrafficJam;657;57
TrafficJam;658;58
TrafficJam;659;59
TrafficJam;660;60
TrafficJam;661;61
TrafficJam;662;62
TrafficJam;663;63
TrafficJam;664;64
TrafficJam;665;65
TrafficJam;666;66
TrafficJam;667;67
TrafficJam;668;68
TrafficJam;669;69
TrafficJam;670;70
TrafficJam;671;71
TrafficJam;672;72
TrafficJam;673;73
TrafficJam;674;74
TrafficJam;675;75
TrafficJam;676;76
TrafficJam;677;77
TrafficJam;678;78
TrafficJam;679;79
TrafficJam;680;80
TrafficJam;681;81
TrafficJam;682;82
TrafficJam;683;83
TrafficJam;684;84
TrafficJam;685;85
TrafficJam;686;86
TrafficJam;687;87
TrafficJam;688;88
TrafficJam;689;89
TrafficJam;690;90
TrafficJam;691;91
TrafficJam;692;92
TrafficJam;693;93
TrafficJam;694;94
TrafficJam;695;95
TrafficJam;696;96
TrafficJam;697;97
TrafficJam;698;98
TrafficJam;699;99
TrafficJam;700;100
TrafficJam;701;1
TrafficJam;702;2
TrafficJam;703;3
TrafficJam;704;4
TrafficJam;705;5
TrafficJam;706;6
TrafficJam;707;7
TrafficJam;708;8
TrafficJam;709;9
TrafficJam;710;10
TrafficJam;711;11
TrafficJam;712;12
TrafficJam;713;13
TrafficJam;714;14
TrafficJam;715;15
TrafficJam;716;16
TrafficJam;717;17
TrafficJam;718;18
TrafficJam;719;19
TrafficJam;720;20
TrafficJam;721;21
TrafficJam;722;22
TrafficJam;723;23
TrafficJam;724;24
TrafficJam;725;25
TrafficJam;726;26
TrafficJam;727;27
TrafficJam;728;28
TrafficJam;729;29
TrafficJam;730;30
TrafficJam;731;31
TrafficJam;732;32
TrafficJam;733;33
TrafficJam;734;34
TrafficJam;735;35
TrafficJam;736;36
TrafficJam;737;37
TrafficJam;738;38
TrafficJam;739;39
TrafficJam;740;40
TrafficJam;741;41
TrafficJam;742;42
TrafficJam;743;43
TrafficJam;744;44
TrafficJam;745;45
TrafficJam;746;46
TrafficJam;747;47
TrafficJam;748;48
TrafficJam;749;49
TrafficJam;750;50
TrafficJam;751;51
TrafficJam;752;52
TrafficJam;753;53
TrafficJam;754;54
TrafficJam;755;55
TrafficJam;756;56
TrafficJam;757;57
TrafficJam;758;58
TrafficJam;759;59
TrafficJam;760;60
TrafficJam;761;61
TrafficJam;762;62
TrafficJam;763;63
TrafficJam;764;64
TrafficJam;765;65
TrafficJam;766;66
TrafficJam;767;67
TrafficJam;768;68
TrafficJam;769;69
TrafficJam;770;70
TrafficJam;771;71
TrafficJam;772;72
TrafficJam;773;73
TrafficJam;774;74
TrafficJam;775;75
TrafficJam;776;76
TrafficJam;777;77
TrafficJam;778;78
TrafficJam;779;79
TrafficJam;780;80
TrafficJam;781;81
TrafficJam;782;82
TrafficJam;783;83
TrafficJam;784;84
TrafficJam;785;85
TrafficJam;786;86
TrafficJam;787;87
TrafficJam;788;88
TrafficJam;789;89
TrafficJam;790;90
TrafficJam;791;91
TrafficJam;792;92
TrafficJam;793;93
TrafficJam;794;94
TrafficJam;795;95
TrafficJam;796;96
TrafficJam;797;97
TrafficJam;798;98
TrafficJam;799;99
TrafficJam;800;100
TrafficJam;801;1
TrafficJam;802;2
TrafficJam;803;3
TrafficJam;804;4
TrafficJam;805;5
TrafficJam;806;6
TrafficJam;807;7
TrafficJam;808;8
TrafficJam;809;9
TrafficJam;810;10
TrafficJam;811;11
TrafficJam;812;12
TrafficJam;813;13
TrafficJam;814;14
TrafficJam;815;15
TrafficJam;816;16
TrafficJam;817;17
TrafficJam;818;18
TrafficJam;819;19
TrafficJam;820;20
TrafficJam;821;21
TrafficJam;822;22
TrafficJam;823;23
TrafficJam;824;24
TrafficJam;825;25
TrafficJam;826;26
TrafficJam;827;27
TrafficJam;828;28
TrafficJam;829;29
TrafficJam;830;30
TrafficJam;831;31
TrafficJam;832;32
TrafficJam;833;33
TrafficJam;834;34
TrafficJam;835;35
TrafficJam;836;36
TrafficJam;837;37
TrafficJam;838;38
TrafficJam;839;39
TrafficJam;840;40
TrafficJam;841;41
TrafficJam;842;42
TrafficJam;843;43
TrafficJam;844;44
TrafficJam;845;45
TrafficJam;846;46
TrafficJam;847;47
TrafficJam;848;48
TrafficJam;849;49
TrafficJam;850;50
TrafficJam;851;51
TrafficJam;852;52
TrafficJam;853;53
TrafficJam;854;54
TrafficJam;855;55
TrafficJam;856;56
TrafficJam;857;57
TrafficJam;858;58
TrafficJam;859;59
TrafficJam;860;60
TrafficJam;861;61
TrafficJam;862;62
TrafficJam;863;63
TrafficJam;864;64
TrafficJam;865;65
TrafficJam;866;66
TrafficJam;867;67
TrafficJam;868;68
TrafficJam;869;69
TrafficJam;870;70
TrafficJam;871;71
TrafficJam;872;72
TrafficJam;873;73
TrafficJam;874;74
TrafficJam;875;75
TrafficJam;876;76
TrafficJam;877;77
TrafficJam;878;78
TrafficJam;879;79
TrafficJam;880;80
TrafficJam;881;81
TrafficJam;882;82
TrafficJam;883;83
TrafficJam;884;84
TrafficJam;885;85
TrafficJam;886;86
TrafficJam;887;87
TrafficJam;888;88
TrafficJam;889;89
TrafficJam;890;90
TrafficJam;891;91
TrafficJam;892;92
TrafficJam;893;93
TrafficJam;894;94
TrafficJam;895;95
TrafficJam;896;96
TrafficJam;897;97
TrafficJam;898;98
TrafficJam;899;99
TrafficJam;900;100
TrafficJam;901;1
TrafficJam;902;2
TrafficJam;903;3
TrafficJam;904;4
TrafficJam;905;5
TrafficJam;906;6
TrafficJam;907;7
TrafficJam;908;8
TrafficJam;909;9
TrafficJam;910;10
TrafficJam;911;11
TrafficJam;912;12
TrafficJam;913;13
TrafficJam;914;14
TrafficJam;915;15
TrafficJam;916;16
TrafficJam;917;17
TrafficJam;918;18
TrafficJam;919;19
TrafficJam;920;20
TrafficJam;921;21
TrafficJam;922;22
TrafficJam;923;23
TrafficJam;924;24
TrafficJam;925;25
TrafficJam;926;26
TrafficJam;927;27
TrafficJam;928;28
TrafficJam;929;29
TrafficJam;930;30
TrafficJam;931;31
TrafficJam;932;32
TrafficJam;933;33
TrafficJam;934;34
TrafficJam;935;35
TrafficJam;936;36
TrafficJam;937;37
TrafficJam;938;38
TrafficJam;939;39
TrafficJam;940;40
TrafficJam;941;41
TrafficJam;942;42
TrafficJam;943;43
TrafficJam;944;44
TrafficJam;945;45
TrafficJam;946;46
TrafficJam;947;47
TrafficJam;948;48
TrafficJam;949;49
TrafficJam;950;50
TrafficJam;951;51
TrafficJam;952;52
TrafficJam;953;53
TrafficJam;954;54
TrafficJam;955;55
TrafficJam;956;56
TrafficJam;957;57
TrafficJam;958;58
TrafficJam;959;59
TrafficJam;960;60
TrafficJam;961;61
TrafficJam;962;62
TrafficJam;963;63
TrafficJam;964;64
TrafficJam;965;65
TrafficJam;966;66
TrafficJam;967;67
TrafficJam;968;68
TrafficJam;969;69
TrafficJam;970;70
TrafficJam;971;71
TrafficJam;972;72
TrafficJam;973;73
TrafficJam;974;74
TrafficJam;975;75
TrafficJam;976;76
TrafficJam;977;77
TrafficJam;978;78
TrafficJam;979;79
TrafficJam;980;80
TrafficJam;981;81
TrafficJam;982;82
TrafficJam;983;83
TrafficJam;984;84
TrafficJam;985;85
TrafficJam;986;86
TrafficJam;987;87
TrafficJam;988;88
TrafficJam;989;89
TrafficJam;990;90
TrafficJam;991;91
TrafficJam;992;92
TrafficJam;993;93
TrafficJam;994;94
TrafficJam;995;95
TrafficJam;996;96
TrafficJam;997;97
TrafficJam;998;98
TrafficJam;999;99
TrafficJam;1000;100
